fixture_id,date,round,home_team,away_team,position,home_player,away_player,winning_player,score,home_games,away_games,status
UA009044,9 Aug 26,4,Lauriston,Beaumaris CC,No. 3,Siddarth Japati,Dexter Karlsson,Dexter Karlsson,0-6,0,6,Completed
UA009044,9 Aug 26,4,Lauriston,Beaumaris CC,No. 4,Benjamin Pham,Jack Van Vuure,Benjamin Pham,6-0,6,0,Completed
UA009051,16 Aug 26,5,BLTC,Beaumaris CC,No. 1,Roby Capomolla,Abby Van Vuuren,Abby Van Vuuren,6-7,6,7,Completed
UA009051,16 Aug 26,5,BLTC,Beaumaris CC,No. 2,Cohen Harris,Dexter Karlsson,Cohen Harris,6-3,6,3,Completed
UA009051,16 Aug 26,5,BLTC,Beaumaris CC,No. 3,Olivia Hansen,Joy Chang,Olivia Hansen,6-2,6,2,Completed
UA009051,16 Aug 26,5,BLTC,Beaumaris CC,No. 4,James Austin,Jack Van Vuure,James Austin,6-3,6,3,Completed
UA009052,16 Aug 26,5,St James,Kings Park,No. 1,Finlay Davies,Julian Wang,Julian Wang,3-6,3,6,Completed
UA009052,16 Aug 26,5,St James,Kings Park,No. 2,Hugh Harrington,Jayden Bone,Jayden Bone,0-6,0,6,Completed
UA009052,16 Aug 26,5,St James,Kings Park,No. 3,Toby Storer,James Shen,James Shen,1-6,1,6,Completed
UA009052,16 Aug 26,5,St James,Kings Park,No. 4,Charlie Pfahl,George Si,Charlie Pfahl,6-1,6,1,Completed
UA009053,16 Aug 26,5,Victory Park,Lauriston,No. 1,Torin Hunter,Dhevesh Jayam,Dhevesh Jayam,2-6,2,6,Completed
UA009053,16 Aug 26,5,Victory Park,Lauriston,No. 2,Athharv Balachandar,Siddarth Japati,Athharv Balachandar,6-1,6,1,Completed
UA009053,16 Aug 26,5,Victory Park,Lauriston,No. 3,Kiichi Usui,Hayden Bode,Hayden Bode,3-6,3,6,Completed
UA009053,16 Aug 26,5,Victory Park,Lauriston,No. 4,Jay Han,Benjamin Pham,Jay Han,6-3,6,3,Completed
UA009054,16 Aug 26,5,Kooyong,Coatesville,No. 1,Aston Wollin,Timothy Tan,Timothy Tan,2-6,2,6,Completed
UA009054,16 Aug 26,5,Kooyong,Coatesville,No. 2,Freddy Nasis,Xavier Pace,Freddy Nasis,7-5,7,5,Completed
UA009054,16 Aug 26,5,Kooyong,Coatesville,No. 3,Elliot Doukas,Noah Ueckerman,Elliot Doukas,6-1,6,1,Completed
UA009054,16 Aug 26,5,Kooyong,Coatesville,No. 4,Kaeleb Sanghvi,Kona Smith,Kona Smith,2-6,2,6,Completed
UA009061,23 Aug 26,6,Coatesville,BLTC,No. 1,Dax Chen,Cohen Harris,Cohen Harris,3-6,3,6,Completed
UA009061,23 Aug 26,6,Coatesville,BLTC,No. 2,Timothy Tan,Olivia Hansen,Olivia Hansen,2-6,2,6,Completed
UA009061,23 Aug 26,6,Coatesville,BLTC,No. 3,Xavier Pace,James Austin,Xavier Pace,7-6,7,6,Completed
UA009061,23 Aug 26,6,Coatesville,BLTC,No. 4,Noah Ueckerman,E 4. Swapneel Sengupta,E 4. Swapneel Sengupta,3-6,3,6,Completed
UA009062,23 Aug 26,6,Beaumaris CC,Kooyong,No. 1,Amara Naing,Aston Wollin,Aston Wollin,3-6,3,6,Completed
UA009062,23 Aug 26,6,Beaumaris CC,Kooyong,No. 2,Tamara Tran,Freddy Nasis,Freddy Nasis,1-6,1,6,Completed
UA009062,23 Aug 26,6,Beaumaris CC,Kooyong,No. 3,Joy Chang,Ari Lohia,Ari Lohia,0-6,0,6,Completed
UA009062,23 Aug 26,6,Beaumaris CC,Kooyong,No. 4,Jack Van Vuure,Kaeleb Sanghvi,Kaeleb Sanghvi,3-6,3,6,Completed
UA009063,23 Aug 26,6,Kings Park,Victory Park,No. 1,Julian Wang,Athharv Balachandar,Athharv Balachandar,3-6,3,6,Completed
UA009063,23 Aug 26,6,Kings Park,Victory Park,No. 2,Jayden Bone,Jake Milosz,Jake Milosz,4-6,4,6,Completed
UA009063,23 Aug 26,6,Kings Park,Victory Park,No. 3,James Shen,Kiichi Usui,Kiichi Usui,6-7,6,7,Completed
UA009063,23 Aug 26,6,Kings Park,Victory Park,No. 4,George Si,Jay Han,Jay Han,1-6,1,6,Completed
UA009064,23 Aug 26,6,Lauriston,St James,No. 1,Kevin Liu,William Cunningham,Kevin Liu,6-3,6,3,Completed
UA009064,23 Aug 26,6,Lauriston,St James,No. 2,E 2. Alexandru Virmanescu,Charlie Pfahl,E 2. Alexandru Virmanescu,6-3,6,3,Completed
UA009064,23 Aug 26,6,Lauriston,St James,No. 3,Siddarth Japati,Jackson Crinis,Jackson Crinis,1-6,1,6,Completed
UA009064,23 Aug 26,6,Lauriston,St James,No. 4,E 4. Andy Li,E 4. Bernard Wouterse,E 4. Andy Li,6-3,6,3,Completed
UA009071,30 Aug 26,7,Kooyong,BLTC,No. 1,Aston Wollin,Roby Capomolla,Roby Capomolla,2-6,2,6,Completed
